,target name,target accession,tlen,query name,accession,qlen,E-value,score,bias,#,of,c-Evalue,i-Evalue,score,bias,from,to,from,to,from,to,acc,description of target
29,sp|Q9ZL14|IMDH_HELPJ,-,481,MSA_M_1,-,357,1.2e-08,24.8,0.3,2,2,1.2e-06,0.0003,24.8,0.3,305,373,305,373,305,373,0.90,Inosine-5'-monophosphate dehydrogenase OS=Helicobacter pylori (strain J99 / ATCC 700824) OX=85963 GN=guaB PE=3 SV=1
30,sp|O50316|IMDH_CHLP8,-,494,MSA_M_1,-,357,1.4e-08,18.0,0.0,1,2,0.00014,0.038,18.0,0.0,28,97,28,97,28,97,0.85,Inosine-5'-monophosphate dehydrogenase OS=Chlorobaculum parvum (strain NCIB 8327) OX=517417 GN=guaB PE=3 SV=3
31,sp|O50316|IMDH_CHLP8,-,494,MSA_M_1,-,357,1.4e-08,23.1,2.5,2,2,3.8e-06,0.001,23.1,2.5,262,381,262,381,262,381,0.81,Inosine-5'-monophosphate dehydrogenase OS=Chlorobaculum parvum (strain NCIB 8327) OX=517417 GN=guaB PE=3 SV=3
32,sp|Q07152|IMDH_DROME,-,537,MSA_M_1,-,357,1.5e-08,13.8,0.0,1,2,0.0027,0.7,13.8,0.0,72,134,72,134,72,134,0.85,Inosine-5'-monophosphate dehydrogenase OS=Drosophila melanogaster OX=7227 GN=ras PE=1 SV=1
33,sp|Q07152|IMDH_DROME,-,537,MSA_M_1,-,357,1.5e-08,22.9,0.1,2,2,4.6e-06,0.0012,22.9,0.1,356,431,356,431,356,431,0.86,Inosine-5'-monophosphate dehydrogenase OS=Drosophila melanogaster OX=7227 GN=ras PE=1 SV=1
34,sp|P56088|IMDH_HELPY,-,481,MSA_M_1,-,357,1.9e-08,19.3,0.1,1,2,5.8e-05,0.015,19.3,0.1,27,116,27,116,27,116,0.89,Inosine-5'-monophosphate dehydrogenase OS=Helicobacter pylori (strain ATCC 700392 / 26695) OX=85962 GN=guaB PE=3 SV=1
35,sp|P56088|IMDH_HELPY,-,481,MSA_M_1,-,357,1.9e-08,24.8,0.3,2,2,1.2e-06,0.0003,24.8,0.3,305,373,305,373,305,373,0.90,Inosine-5'-monophosphate dehydrogenase OS=Helicobacter pylori (strain ATCC 700392 / 26695) OX=85962 GN=guaB PE=3 SV=1
36,sp|Q9KGN8|IMDH_BACHD,-,485,MSA_M_1,-,357,2e-08,30.4,0.0,1,2,2.4e-08,6.3e-06,30.4,0.0,30,114,30,114,30,114,0.79,Inosine-5'-monophosphate dehydrogenase OS=Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) OX=272558 GN=guaB PE=3 SV=1
37,sp|Q9KGN8|IMDH_BACHD,-,485,MSA_M_1,-,357,2e-08,13.1,0.4,2,2,0.0044,1.1,13.1,0.4,309,380,309,380,309,380,0.83,Inosine-5'-monophosphate dehydrogenase OS=Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) OX=272558 GN=guaB PE=3 SV=1
38,sp|P49058|IMDH_BORBU,-,404,MSA_M_1,-,357,2.4e-08,19.8,0.5,1,2,3.8e-05,0.01,19.8,0.5,29,136,29,136,29,136,0.83,Inosine-5'-monophosphate dehydrogenase OS=Borrelia burgdorferi (strain ATCC 35210 / B31 / CIP 102532 / DSM 4680) OX=224326 GN=guaB PE=1 SV=1
39,sp|P49058|IMDH_BORBU,-,404,MSA_M_1,-,357,2.4e-08,19.4,0.1,2,2,5.1e-05,0.013,19.4,0.1,235,308,235,308,235,308,0.85,Inosine-5'-monophosphate dehydrogenase OS=Borrelia burgdorferi (strain ATCC 35210 / B31 / CIP 102532 / DSM 4680) OX=224326 GN=guaB PE=1 SV=1
40,sp|Q9SA34|IMDH2_ARATH,-,502,MSA_M_1,-,357,2.5e-08,12.9,0.1,1,2,0.0049,1.3,12.9,0.1,39,111,39,111,39,111,0.84,Inosine-5'-monophosphate dehydrogenase 2 OS=Arabidopsis thaliana OX=3702 GN=At1g16350 PE=1 SV=1
41,sp|Q9SA34|IMDH2_ARATH,-,502,MSA_M_1,-,357,2.5e-08,25.4,0.7,2,2,8e-07,0.00021,25.4,0.7,289,401,289,401,289,401,0.88,Inosine-5'-monophosphate dehydrogenase 2 OS=Arabidopsis thaliana OX=3702 GN=At1g16350 PE=1 SV=1
42,sp|O34787|PKSE_BACSU,-,767,MSA_M_1,-,357,4e-08,21.6,0.0,1,2,1.1e-05,0.0029,21.6,0.0,315,421,315,421,315,421,0.84,Polyketide biosynthesis protein PksE OS=Bacillus subtilis (strain 168) OX=224308 GN=pksE PE=1 SV=3
43,sp|O34787|PKSE_BACSU,-,767,MSA_M_1,-,357,4e-08,13.8,0.2,2,2,0.0027,0.7,13.8,0.2,499,596,499,596,499,596,0.88,Polyketide biosynthesis protein PksE OS=Bacillus subtilis (strain 168) OX=224308 GN=pksE PE=1 SV=3
44,sp|P0DB88|IMDH_STRP3,-,493,MSA_M_1,-,357,4.2e-08,25.8,0.0,1,2,5.9e-07,0.00015,25.8,0.0,32,122,32,122,32,122,0.78,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315) OX=198466 GN=guaB PE=3 SV=1
45,sp|P0DB88|IMDH_STRP3,-,493,MSA_M_1,-,357,4.2e-08,11.1,7.9,2,2,0.017,4.5,11.1,7.9,224,389,224,389,224,389,0.85,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315) OX=198466 GN=guaB PE=3 SV=1
46,sp|P0DB89|IMDH_STRPQ,-,493,MSA_M_1,-,357,4.2e-08,25.8,0.0,1,2,5.9e-07,0.00015,25.8,0.0,32,122,32,122,32,122,0.78,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M3 (strain SSI-1) OX=193567 GN=guaB PE=3 SV=1
47,sp|P0DB89|IMDH_STRPQ,-,493,MSA_M_1,-,357,4.2e-08,11.1,7.9,2,2,0.017,4.5,11.1,7.9,224,389,224,389,224,389,0.85,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M3 (strain SSI-1) OX=193567 GN=guaB PE=3 SV=1
48,sp|P0C0H6|IMDH_STRPY,-,493,MSA_M_1,-,357,4.3e-08,25.8,0.0,1,2,5.9e-07,0.00015,25.8,0.0,32,122,32,122,32,122,0.78,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes OX=1314 GN=guaB PE=1 SV=2
49,sp|P0C0H6|IMDH_STRPY,-,493,MSA_M_1,-,357,4.3e-08,11.1,7.9,2,2,0.017,4.5,11.1,7.9,224,389,224,389,224,389,0.85,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes OX=1314 GN=guaB PE=1 SV=2
50,sp|P0C0H7|IMDH_STRP1,-,493,MSA_M_1,-,357,4.3e-08,25.8,0.0,1,2,5.9e-07,0.00015,25.8,0.0,32,122,32,122,32,122,0.78,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M1 OX=301447 GN=guaB PE=3 SV=2
51,sp|P0C0H7|IMDH_STRP1,-,493,MSA_M_1,-,357,4.3e-08,11.1,7.9,2,2,0.017,4.5,11.1,7.9,224,389,224,389,224,389,0.85,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M1 OX=301447 GN=guaB PE=3 SV=2
52,sp|P68839|IMDH_STRP8,-,493,MSA_M_1,-,357,4.3e-08,25.8,0.0,1,2,5.9e-07,0.00015,25.8,0.0,32,122,32,122,32,122,0.78,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M18 (strain MGAS8232) OX=186103 GN=guaB PE=3 SV=2
53,sp|P68839|IMDH_STRP8,-,493,MSA_M_1,-,357,4.3e-08,11.1,7.9,2,2,0.017,4.5,11.1,7.9,224,389,224,389,224,389,0.85,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M18 (strain MGAS8232) OX=186103 GN=guaB PE=3 SV=2
54,sp|Q5X9A3|IMDH_STRP6,-,493,MSA_M_1,-,357,4.3e-08,25.8,0.0,1,2,5.9e-07,0.00015,25.8,0.0,32,122,32,122,32,122,0.78,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M6 (strain ATCC BAA-946 / MGAS10394) OX=286636 GN=guaB PE=1 SV=3
55,sp|Q5X9A3|IMDH_STRP6,-,493,MSA_M_1,-,357,4.3e-08,11.1,7.9,2,2,0.017,4.5,11.1,7.9,224,389,224,389,224,389,0.85,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M6 (strain ATCC BAA-946 / MGAS10394) OX=286636 GN=guaB PE=1 SV=3
56,sp|Q9HQU4|IMDH_HALSA,-,499,MSA_M_1,-,357,5.1e-08,16.2,0.0,1,2,0.00048,0.13,16.2,0.0,40,127,40,127,40,127,0.85,Inosine-5'-monophosphate dehydrogenase OS=Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) OX=64091 GN=guaB PE=3 SV=2
57,sp|Q9HQU4|IMDH_HALSA,-,499,MSA_M_1,-,357,5.1e-08,21.2,1.8,2,2,1.4e-05,0.0038,21.2,1.8,286,394,286,394,286,394,0.84,Inosine-5'-monophosphate dehydrogenase OS=Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) OX=64091 GN=guaB PE=3 SV=2
58,sp|Q9HLK8|IMDH_THEAC,-,485,MSA_M_1,-,357,5.2e-08,14.3,0.0,1,2,0.0019,0.5,14.3,0.0,33,101,33,101,33,101,0.83,Inosine-5'-monophosphate dehydrogenase OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=guaB PE=3 SV=1
59,sp|Q9HLK8|IMDH_THEAC,-,485,MSA_M_1,-,357,5.2e-08,23.7,0.9,2,2,2.6e-06,0.00069,23.7,0.9,306,380,306,380,306,380,0.90,Inosine-5'-monophosphate dehydrogenase OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=guaB PE=3 SV=1
60,sp|Q59011|IMDH_METJA,-,496,MSA_M_1,-,357,5.8e-08,16.1,0.1,1,2,0.00052,0.14,16.1,0.1,34,119,34,119,34,119,0.81,Inosine-5'-monophosphate dehydrogenase OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=guaB PE=3 SV=1
61,sp|Q59011|IMDH_METJA,-,496,MSA_M_1,-,357,5.8e-08,22.6,3.5,2,2,5.6e-06,0.0015,22.6,3.5,221,377,221,377,221,377,0.76,Inosine-5'-monophosphate dehydrogenase OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=guaB PE=3 SV=1
62,sp|P0ADG7|IMDH_ECOLI,-,488,MSA_M_1,-,357,6.6e-08,17.6,0.1,1,2,0.00018,0.047,17.6,0.1,28,98,28,98,28,98,0.89,Inosine-5'-monophosphate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=guaB PE=1 SV=1
63,sp|P0ADG7|IMDH_ECOLI,-,488,MSA_M_1,-,357,6.6e-08,19.8,1.9,2,2,3.9e-05,0.01,19.8,1.9,306,379,306,379,306,379,0.84,Inosine-5'-monophosphate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=guaB PE=1 SV=1
64,sp|P0ADG8|IMDH_ECO57,-,488,MSA_M_1,-,357,6.6e-08,17.6,0.1,1,2,0.00018,0.047,17.6,0.1,28,98,28,98,28,98,0.89,Inosine-5'-monophosphate dehydrogenase OS=Escherichia coli O157:H7 OX=83334 GN=guaB PE=3 SV=1
65,sp|P0ADG8|IMDH_ECO57,-,488,MSA_M_1,-,357,6.6e-08,19.8,1.9,2,2,3.9e-05,0.01,19.8,1.9,306,379,306,379,306,379,0.84,Inosine-5'-monophosphate dehydrogenase OS=Escherichia coli O157:H7 OX=83334 GN=guaB PE=3 SV=1
66,sp|P0ADG9|IMDH_SHIFL,-,488,MSA_M_1,-,357,6.6e-08,17.6,0.1,1,2,0.00018,0.047,17.6,0.1,28,98,28,98,28,98,0.89,Inosine-5'-monophosphate dehydrogenase OS=Shigella flexneri OX=623 GN=guaB PE=3 SV=1
67,sp|P0ADG9|IMDH_SHIFL,-,488,MSA_M_1,-,357,6.6e-08,19.8,1.9,2,2,3.9e-05,0.01,19.8,1.9,306,379,306,379,306,379,0.84,Inosine-5'-monophosphate dehydrogenase OS=Shigella flexneri OX=623 GN=guaB PE=3 SV=1
68,sp|P12268|IMDH2_HUMAN,-,514,MSA_M_1,-,357,7.7e-08,10.9,0.0,1,2,0.02,5.2,10.9,0.0,49,119,49,119,49,119,0.82,Inosine-5'-monophosphate dehydrogenase 2 OS=Homo sapiens OX=9606 GN=IMPDH2 PE=1 SV=2
69,sp|P12268|IMDH2_HUMAN,-,514,MSA_M_1,-,357,7.7e-08,24.0,0.2,2,2,2.2e-06,0.00057,24.0,0.2,285,413,285,413,285,413,0.85,Inosine-5'-monophosphate dehydrogenase 2 OS=Homo sapiens OX=9606 GN=IMPDH2 PE=1 SV=2
70,sp|Q5RGV1|IMDH3_DANRE,-,514,MSA_M_1,-,357,7.9e-08,14.2,0.0,1,2,0.002,0.53,14.2,0.0,49,114,49,114,49,114,0.83,Inosine-5'-monophosphate dehydrogenase 1b OS=Danio rerio OX=7955 GN=impdh1b PE=2 SV=1
71,sp|Q5RGV1|IMDH3_DANRE,-,514,MSA_M_1,-,357,7.9e-08,20.2,0.0,2,2,2.9e-05,0.0077,20.2,0.0,341,412,341,412,341,412,0.85,Inosine-5'-monophosphate dehydrogenase 1b OS=Danio rerio OX=7955 GN=impdh1b PE=2 SV=1
72,sp|Q3SWY3|IMDH2_BOVIN,-,514,MSA_M_1,-,357,8.1e-08,10.9,0.0,1,2,0.02,5.3,10.9,0.0,49,118,49,118,49,118,0.82,Inosine-5'-monophosphate dehydrogenase 2 OS=Bos taurus OX=9913 GN=IMPDH2 PE=2 SV=1
73,sp|Q3SWY3|IMDH2_BOVIN,-,514,MSA_M_1,-,357,8.1e-08,24.1,0.3,2,2,2e-06,0.00052,24.1,0.3,283,413,283,413,283,413,0.80,Inosine-5'-monophosphate dehydrogenase 2 OS=Bos taurus OX=9913 GN=IMPDH2 PE=2 SV=1
74,sp|E9PU28|IMDH2_RAT,-,514,MSA_M_1,-,357,8.1e-08,10.9,0.0,1,2,0.02,5.2,10.9,0.0,49,119,49,119,49,119,0.82,Inosine-5'-monophosphate dehydrogenase 2 OS=Rattus norvegicus OX=10116 GN=Impdh2 PE=1 SV=1
75,sp|E9PU28|IMDH2_RAT,-,514,MSA_M_1,-,357,8.1e-08,24.0,0.2,2,2,2.1e-06,0.00055,24.0,0.2,285,413,285,413,285,413,0.84,Inosine-5'-monophosphate dehydrogenase 2 OS=Rattus norvegicus OX=10116 GN=Impdh2 PE=1 SV=1
76,sp|P12269|IMDH2_CRIGR,-,514,MSA_M_1,-,357,8.2e-08,10.9,0.0,1,2,0.02,5.2,10.9,0.0,49,119,49,119,49,119,0.82,Inosine-5'-monophosphate dehydrogenase 2 OS=Cricetulus griseus OX=10029 GN=IMPDH2 PE=1 SV=1
77,sp|P12269|IMDH2_CRIGR,-,514,MSA_M_1,-,357,8.2e-08,24.0,0.2,2,2,2.1e-06,0.00056,24.0,0.2,285,413,285,413,285,413,0.85,Inosine-5'-monophosphate dehydrogenase 2 OS=Cricetulus griseus OX=10029 GN=IMPDH2 PE=1 SV=1
78,sp|F6S675|IMDH1_XENTR,-,512,MSA_M_1,-,357,8.7e-08,13.7,0.0,1,2,0.0028,0.74,13.7,0.0,50,115,50,115,50,115,0.84,Inosine-5'-monophosphate dehydrogenase 1 OS=Xenopus tropicalis OX=8364 GN=impdh1 PE=3 SV=1
79,sp|F6S675|IMDH1_XENTR,-,512,MSA_M_1,-,357,8.7e-08,20.4,0.1,2,2,2.5e-05,0.0067,20.4,0.1,338,410,338,410,338,410,0.85,Inosine-5'-monophosphate dehydrogenase 1 OS=Xenopus tropicalis OX=8364 GN=impdh1 PE=3 SV=1
80,sp|P24547|IMDH2_MOUSE,-,514,MSA_M_1,-,357,8.8e-08,10.9,0.0,1,2,0.02,5.2,10.9,0.0,49,119,49,119,49,119,0.82,Inosine-5'-monophosphate dehydrogenase 2 OS=Mus musculus OX=10090 GN=Impdh2 PE=1 SV=2
81,sp|P24547|IMDH2_MOUSE,-,514,MSA_M_1,-,357,8.8e-08,23.9,0.2,2,2,2.2e-06,0.00058,23.9,0.2,285,413,285,413,285,413,0.86,Inosine-5'-monophosphate dehydrogenase 2 OS=Mus musculus OX=10090 GN=Impdh2 PE=1 SV=2
82,sp|A6UWA5|HIS4_META3,-,241,MSA_M_1,-,357,1.1e-07,9.7,0.1,1,2,0.045,12,9.7,0.1,62,132,62,132,62,132,0.89,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Methanococcus aeolicus (strain ATCC BAA-1280 / DSM 17508 / OCM 812 / Nankai-3) OX=419665 GN=hisA PE=3 SV=1
83,sp|A6UWA5|HIS4_META3,-,241,MSA_M_1,-,357,1.1e-07,24.7,0.0,2,2,1.3e-06,0.00034,24.7,0.0,167,227,167,227,167,227,0.94,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Methanococcus aeolicus (strain ATCC BAA-1280 / DSM 17508 / OCM 812 / Nankai-3) OX=419665 GN=hisA PE=3 SV=1
84,sp|B0UXP9|IMDH2_DANRE,-,514,MSA_M_1,-,357,1.1e-07,11.3,0.0,1,2,0.016,4.1,11.3,0.0,49,117,49,117,49,117,0.83,Inosine-5'-monophosphate dehydrogenase 2 OS=Danio rerio OX=7955 GN=impdh2 PE=3 SV=1
