From	To
Q3BZH2	UniRef90_Q3BZH2
Q8PR33	UniRef90_Q3BZH2
Q2SS69	UniRef90_Q2SS69
Q8RG85	UniRef90_Q8RG85
O35435	UniRef90_Q63707
B3PIL8	UniRef90_B3PIL8
O00086	UniRef90_Q59Q46
Q59Q46	UniRef90_Q59Q46
O67820	UniRef90_O67820
Q8TYD6	UniRef90_Q8TYD6
A9WQA3	UniRef90_A9WQA3
Q8F4Q4	UniRef90_Q8F4Q4
A4J560	UniRef90_A4J560
Q0TQ02	UniRef90_Q0TQ02
A0JUZ7	UniRef90_A0JUZ7
Q8H3I4	UniRef90_Q8H3I4
Q9CFW8	UniRef90_P54322
Q21JW9	UniRef90_Q21JW9
P47996	UniRef90_P47996
Q0SSM0	UniRef90_Q0TQ02
Q8XK02	UniRef90_Q0TQ02
B2G5A3	UniRef90_A5VHS3
A5VHS3	UniRef90_A5VHS3
A8FD19	UniRef90_A8FD19
Q0BFR0	UniRef90_Q0BFR0
A4XWQ0	UniRef90_A4XWQ0
Q8DGQ5	UniRef90_Q8DGQ5
Q3IT10	UniRef90_Q3IT10
A5EV79	UniRef90_A5EV79
A3DD04	UniRef90_A3DD04
Q54QQ0	UniRef90_Q54QQ0
Q2RHX4	UniRef90_Q2RHX4
Q8RBJ3	UniRef90_Q8RBJ3
B0KAS1	UniRef90_Q8RBJ3
B0K4N7	UniRef90_Q8RBJ3
P21795	UniRef90_P21795
C4XPD6	UniRef90_C4XPD6
Q5JHR7	UniRef90_Q5JHR7
A6VTA6	UniRef90_A6VTA6
Q4ZY06	UniRef90_Q4ZY06
A4X5V3	UniRef90_A8LWZ4
Q5UZH1	UniRef90_Q5UZH1
A1AHE2	UniRef90_A8ARJ1
B2A2Z7	UniRef90_B2A2Z7
Q30NR6	UniRef90_Q30NR6
Q5RGV1	UniRef90_Q5RGV1
Q63707	UniRef90_Q63707
O58045	UniRef90_O58045
A8HTC9	UniRef90_A8HTC9
P42851	UniRef90_O58045
B0V6L1	UniRef90_B0VND0
A3M0X0	UniRef90_B0VND0
B2I061	UniRef90_B0VND0
B7IBS4	UniRef90_B0VND0
B7H2H0	UniRef90_B0VND0
B0VND0	UniRef90_B0VND0
B1I557	UniRef90_B1I557
A0JNA3	UniRef90_A0JNA3
Q9UY49	UniRef90_O58045
Q7UJL3	UniRef90_Q7UJL3
Q9JX66	UniRef90_Q9K1D7
F6S675	UniRef90_F6S675
Q8EUY2	UniRef90_Q8EUY2
O59185	UniRef90_O59185
P50096	UniRef90_P50096
P25996	UniRef90_P25996
Q65PL2	UniRef90_P37527
Q5FJB5	UniRef90_Q5FJB5
D3ZLZ7	UniRef90_P50096
C6BW12	UniRef90_C6BW12
A7Z0D3	UniRef90_P37527
Q6G4R2	UniRef90_Q6G0J2
Q9V0Y6	UniRef90_Q9V0Y6
A1TZG0	UniRef90_A1TZG0
Q82ST3	UniRef90_Q82ST3
A7MPA0	UniRef90_A7MPA0
B1MBX5	UniRef90_B1MBX5
Q9HV37	UniRef90_A6VCM8
B7V1I3	UniRef90_A6VCM8
Q6GMG5	UniRef90_Q6GMG5
Q02FQ1	UniRef90_A6VCM8
Q979G6	UniRef90_Q979G6
P61422	UniRef90_P61422
Q84XA3	UniRef90_Q84XA3
A8MIU4	UniRef90_A8MIU4
Q74J29	UniRef90_Q74J29
A8LY18	UniRef90_A8LY18
