,key,accession,name,source_database,length,source_organism_taxID,source_organism_scientificName,source_organism_fullName
53,53,A0A011V1L9,NMO domain-containing protein,unreviewed,224,69279,Aquamicrobium defluvii,Aquamicrobium defluvii
54,54,A0A011VVF5,NMO domain-containing protein,unreviewed,312,1341156,Ruminococcus albus SY3,Ruminococcus albus SY3
55,55,A0A013RRV7,NMO domain-containing protein,unreviewed,323,1310759,Acinetobacter baumannii 573719,Acinetobacter baumannii 573719
56,56,A0A013RTR4,NMO domain-containing protein,unreviewed,348,1310759,Acinetobacter baumannii 573719,Acinetobacter baumannii 573719
57,57,A0A013SFW3,NMO domain-containing protein,unreviewed,323,1310764,Acinetobacter sp. 826659,Acinetobacter sp. 826659
58,58,A0A013TGW7,NMO domain-containing protein,unreviewed,348,1310791,Acinetobacter sp. 742879,Acinetobacter sp. 742879
59,59,A0A013TMG9,NMO domain-containing protein,unreviewed,323,1310791,Acinetobacter sp. 742879,Acinetobacter sp. 742879
60,60,A0A013TTC9,NMO domain-containing protein,unreviewed,348,1310764,Acinetobacter sp. 826659,Acinetobacter sp. 826659
61,61,A0A013WFS3,NMO domain-containing protein,unreviewed,467,1461752,Sphingobium sp. Ant17,Sphingobium sp. Ant17
62,62,A0A013WYJ7,NMO domain-containing protein,unreviewed,302,1461752,Sphingobium sp. Ant17,Sphingobium sp. Ant17
63,63,A0A013WZA9,NMO domain-containing protein,unreviewed,310,1461752,Sphingobium sp. Ant17,Sphingobium sp. Ant17
64,64,A0A013XPU6,NMO domain-containing protein,unreviewed,337,1461752,Sphingobium sp. Ant17,Sphingobium sp. Ant17
65,65,A0A013XZL7,NMO domain-containing protein,unreviewed,331,1461752,Sphingobium sp. Ant17,Sphingobium sp. Ant17
66,66,A0A014BF55,NMO domain-containing protein,unreviewed,348,1310912,Acinetobacter sp. 25977_8,Acinetobacter sp. 25977_8
67,67,A0A014BI73,NMO domain-containing protein,unreviewed,323,1310911,Acinetobacter sp. 25977_7,Acinetobacter sp. 25977_7
68,68,A0A014C1D3,NMO domain-containing protein,unreviewed,323,1310912,Acinetobacter sp. 25977_8,Acinetobacter sp. 25977_8
69,69,A0A014C381,NMO domain-containing protein,unreviewed,348,1310910,Acinetobacter sp. 25977_6,Acinetobacter sp. 25977_6
70,70,A0A014CFM3,NMO domain-containing protein,unreviewed,323,1310910,Acinetobacter sp. 25977_6,Acinetobacter sp. 25977_6
71,71,A0A014CZ74,NMO domain-containing protein,unreviewed,323,1310905,Acinetobacter sp. 25977_1,Acinetobacter sp. 25977_1
72,72,A0A014D513,NMO domain-containing protein,unreviewed,348,1310911,Acinetobacter sp. 25977_7,Acinetobacter sp. 25977_7
73,73,A0A014DBK1,NMO domain-containing protein,unreviewed,348,1310905,Acinetobacter sp. 25977_1,Acinetobacter sp. 25977_1
74,74,A0A014DD46,NMO domain-containing protein,unreviewed,323,1310908,Acinetobacter sp. 25977_4,Acinetobacter sp. 25977_4
75,75,A0A014DPG9,NMO domain-containing protein,unreviewed,323,1310914,Acinetobacter sp. 25977_10,Acinetobacter sp. 25977_10
76,76,A0A014E3C9,NMO domain-containing protein,unreviewed,348,1310907,Acinetobacter sp. 25977_3,Acinetobacter sp. 25977_3
77,77,A0A014ECI4,NMO domain-containing protein,unreviewed,348,1310906,Acinetobacter sp. 25977_2,Acinetobacter sp. 25977_2
78,78,A0A014ERX4,NMO domain-containing protein,unreviewed,348,1310908,Acinetobacter sp. 25977_4,Acinetobacter sp. 25977_4
79,79,A0A014ET26,NMO domain-containing protein,unreviewed,323,1310907,Acinetobacter sp. 25977_3,Acinetobacter sp. 25977_3
80,80,A0A014EYV5,NMO domain-containing protein,unreviewed,323,1310906,Acinetobacter sp. 25977_2,Acinetobacter sp. 25977_2
81,81,A0A014F3R1,NMO domain-containing protein,unreviewed,348,1310914,Acinetobacter sp. 25977_10,Acinetobacter sp. 25977_10
82,82,A0A014LHU3,NMO domain-containing protein,unreviewed,352,1158056,Streptomyces sp. PRh5,Streptomyces sp. PRh5
83,83,A0A014LKB2,NMO domain-containing protein,unreviewed,363,1158056,Streptomyces sp. PRh5,Streptomyces sp. PRh5
84,84,A0A014MBY7,NMO domain-containing protein,unreviewed,367,1158056,Streptomyces sp. PRh5,Streptomyces sp. PRh5
85,85,A0A014MHR6,Erythronolide synthase,unreviewed,2380,1158056,Streptomyces sp. PRh5,Streptomyces sp. PRh5
86,86,A0A014MKS7,NMO domain-containing protein,unreviewed,320,1457173,Comamonas aquatica DA1877,Comamonas aquatica DA1877
87,87,A0A014MW27,NMO domain-containing protein,unreviewed,351,568076,Metarhizium robertsii,Metarhizium robertsii
88,88,A0A014N1G3,Dioxygenase,unreviewed,320,1158056,Streptomyces sp. PRh5,Streptomyces sp. PRh5
89,89,A0A014N8Q8,NMO domain-containing protein,unreviewed,351,568076,Metarhizium robertsii,Metarhizium robertsii
90,90,A0A014QZC4,NMO domain-containing protein,unreviewed,363,568076,Metarhizium robertsii,Metarhizium robertsii
91,91,A0A015KR93,NMO domain-containing protein,unreviewed,369,1432141,Rhizophagus irregularis (strain DAOM 197198w),Rhizophagus irregularis (strain DAOM 197198w)
92,92,A0A015S7Y3,NMO domain-containing protein,unreviewed,314,1339289,Bacteroides fragilis str. 3986 N(B)19,Bacteroides fragilis str. 3986 N(B)19
93,93,A0A015TZP0,NMO domain-containing protein,unreviewed,314,1339315,Bacteroides fragilis str. 3988T(B)14,Bacteroides fragilis str. 3988T(B)14
94,94,A0A015U9C3,NMO domain-containing protein,unreviewed,314,1339316,Bacteroides fragilis str. 3998T(B)3,Bacteroides fragilis str. 3998T(B)3
95,95,A0A015VG69,NMO domain-containing protein,unreviewed,314,1339276,Bacteroides fragilis str. DS-208,Bacteroides fragilis str. DS-208
96,96,A0A015WEG4,NMO domain-containing protein,unreviewed,314,1339271,Bacteroides fragilis str. J-143-4,Bacteroides fragilis str. J-143-4
97,97,A0A015XC95,NMO domain-containing protein,unreviewed,314,1339327,Bacteroides fragilis str. S36L11,Bacteroides fragilis str. S36L11
98,98,A0A015ZLT9,NMO domain-containing protein,unreviewed,314,1339280,Bacteroides fragilis str. 2-F-2 #4,Bacteroides fragilis str. 2-F-2 #4
99,99,A0A016EAU4,NMO domain-containing protein,unreviewed,314,1339314,Bacteroides fragilis str. 3976T8,Bacteroides fragilis str. 3976T8
100,100,A0A016EP07,NMO domain-containing protein,unreviewed,314,1339337,Bacteroides fragilis str. 1007-1-F #3,Bacteroides fragilis str. 1007-1-F #3
101,101,A0A016GBN3,NMO domain-containing protein,unreviewed,314,1339279,Bacteroides fragilis str. 20793-3,Bacteroides fragilis str. 20793-3
102,102,A0A016QNU2,NMO domain-containing protein,unreviewed,342,1476583,Deinococcus phoenicis,Deinococcus phoenicis
103,103,A0A016XF12,NMO domain-containing protein,unreviewed,368,1458275,Hylemonella gracilis str. Niagara R,Hylemonella gracilis str. Niagara R
104,104,A0A016XJJ8,NMO domain-containing protein,unreviewed,323,1458275,Hylemonella gracilis str. Niagara R,Hylemonella gracilis str. Niagara R
105,105,A0A017H5A9,NMO domain-containing protein,unreviewed,315,1226633,Fusobacterium necrophorum subsp. funduliforme B35,Fusobacterium necrophorum subsp. funduliforme B35
106,106,A0A017H7V1,NMO domain-containing protein,unreviewed,312,1226633,Fusobacterium necrophorum subsp. funduliforme B35,Fusobacterium necrophorum subsp. funduliforme B35
107,107,A0A017HE38,NMO domain-containing protein,unreviewed,602,1122180,Limimaricola hongkongensis DSM 17492,Limimaricola hongkongensis DSM 17492
108,108,A0A017HRR8,NMO domain-containing protein,unreviewed,301,442562,Rubellimicrobium mesophilum DSM 19309,Rubellimicrobium mesophilum DSM 19309
109,109,A0A017HUJ7,Enoyl-[acyl-carrier-protein] reductase (FMN),unreviewed,320,442562,Rubellimicrobium mesophilum DSM 19309,Rubellimicrobium mesophilum DSM 19309
110,110,A0A017NE06,NMO domain-containing protein,unreviewed,314,1339329,Bacteroides fragilis str. S23L17,Bacteroides fragilis str. S23L17
111,111,A0A017RZE0,NMO domain-containing protein,unreviewed,310,1403537,Fervidicella metallireducens AeB,Fervidicella metallireducens AeB
112,112,A0A017S2B5,NMO domain-containing protein,unreviewed,332,1388766,Aspergillus ruber CBS 135680,Aspergillus ruber CBS 135680
113,113,A0A017S9H7,NMO domain-containing protein,unreviewed,361,1388766,Aspergillus ruber CBS 135680,Aspergillus ruber CBS 135680
114,114,A0A017SCV5,NMO domain-containing protein,unreviewed,292,1388766,Aspergillus ruber CBS 135680,Aspergillus ruber CBS 135680
115,115,A0A017SGJ9,NMO domain-containing protein,unreviewed,349,1388766,Aspergillus ruber CBS 135680,Aspergillus ruber CBS 135680
116,116,A0A017SH89,NMO domain-containing protein,unreviewed,355,1388766,Aspergillus ruber CBS 135680,Aspergillus ruber CBS 135680
117,117,A0A017SU85,NMO domain-containing protein,unreviewed,377,1192034,Chondromyces apiculatus DSM 436,Chondromyces apiculatus DSM 436
118,118,A0A021VLC8,NMO domain-containing protein,unreviewed,507,948458,Actinotalea ferrariae CF5-4,Actinotalea ferrariae CF5-4
119,119,A0A021X6N1,NMO domain-containing protein,unreviewed,358,1410620,Shinella sp. DD12,Shinella sp. DD12
120,120,A0A021XF65,NMO domain-containing protein,unreviewed,323,1410620,Shinella sp. DD12,Shinella sp. DD12
121,121,A0A022FIM0,NMO domain-containing protein,unreviewed,322,574750,Cupriavidus sp. SK-4,Cupriavidus sp. SK-4
122,122,A0A022FPR4,NMO domain-containing protein,unreviewed,360,574750,Cupriavidus sp. SK-4,Cupriavidus sp. SK-4
123,123,A0A022FSG3,NMO domain-containing protein,unreviewed,389,574750,Cupriavidus sp. SK-4,Cupriavidus sp. SK-4
124,124,A0A022G5M5,NMO domain-containing protein,unreviewed,323,574750,Cupriavidus sp. SK-4,Cupriavidus sp. SK-4
125,125,A0A022GC58,NMO domain-containing protein,unreviewed,339,574750,Cupriavidus sp. SK-4,Cupriavidus sp. SK-4
126,126,A0A022GD42,NMO domain-containing protein,unreviewed,325,574750,Cupriavidus sp. SK-4,Cupriavidus sp. SK-4
127,127,A0A022GFM4,NMO domain-containing protein,unreviewed,374,574750,Cupriavidus sp. SK-4,Cupriavidus sp. SK-4
128,128,A0A022GP61,NMO domain-containing protein,unreviewed,368,574750,Cupriavidus sp. SK-4,Cupriavidus sp. SK-4
129,129,A0A022GRE4,NMO domain-containing protein,unreviewed,323,574750,Cupriavidus sp. SK-4,Cupriavidus sp. SK-4
130,130,A0A022GRH3,NMO domain-containing protein,unreviewed,331,574750,Cupriavidus sp. SK-4,Cupriavidus sp. SK-4
131,131,A0A022IAU4,NMO domain-containing protein,unreviewed,347,1310800,Acinetobacter sp. 1000160,Acinetobacter sp. 1000160
132,132,A0A022IWS5,NMO domain-containing protein,unreviewed,325,1310800,Acinetobacter sp. 1000160,Acinetobacter sp. 1000160
133,133,A0A022J0S2,NMO domain-containing protein,unreviewed,110,1310723,Acinetobacter sp. 1564232,Acinetobacter sp. 1564232
134,134,A0A022J126,NMO domain-containing protein,unreviewed,216,1310723,Acinetobacter sp. 1564232,Acinetobacter sp. 1564232
135,135,A0A022J634,NMO domain-containing protein,unreviewed,348,1310723,Acinetobacter sp. 1564232,Acinetobacter sp. 1564232
136,136,A0A022KF18,NMO domain-containing protein,unreviewed,56,1310720,Acinetobacter sp. 478810,Acinetobacter sp. 478810
137,137,A0A022KP40,NMO domain-containing protein,unreviewed,323,1310720,Acinetobacter sp. 478810,Acinetobacter sp. 478810
138,138,A0A022KSL7,NMO domain-containing protein,unreviewed,348,1310720,Acinetobacter sp. 478810,Acinetobacter sp. 478810
139,139,A0A022L1W1,NMO domain-containing protein,unreviewed,331,1292020,Dietzia sp. UCD-THP,Dietzia sp. UCD-THP
140,140,A0A022L4L9,NMO domain-containing protein,unreviewed,376,1292020,Dietzia sp. UCD-THP,Dietzia sp. UCD-THP
141,141,A0A022LDL6,NMO domain-containing protein,unreviewed,348,1247714,Microbacterium sp. UCD-TDU,Microbacterium sp. UCD-TDU
142,142,A0A022LKT0,NMO domain-containing protein,unreviewed,321,1292020,Dietzia sp. UCD-THP,Dietzia sp. UCD-THP
143,143,A0A022LN98,NMO domain-containing protein,unreviewed,368,1292020,Dietzia sp. UCD-THP,Dietzia sp. UCD-THP
144,144,A0A022LSE3,NMO domain-containing protein,unreviewed,361,1292020,Dietzia sp. UCD-THP,Dietzia sp. UCD-THP
145,145,A0A022LVN4,NMO domain-containing protein,unreviewed,328,1292020,Dietzia sp. UCD-THP,Dietzia sp. UCD-THP
146,146,A0A022MGL6,NMO domain-containing protein,unreviewed,296,1470557,Streptomyces sp. Tu 6176,Streptomyces sp. Tu 6176
147,147,A0A022MPZ2,2-nitropropane dioxygenase,unreviewed,541,1470557,Streptomyces sp. Tu 6176,Streptomyces sp. Tu 6176
148,148,A0A022PW68,Uncharacterized protein,unreviewed,339,4155,Erythranthe guttata,Erythranthe guttata (Yellow monkey flower)
149,149,A0A022VW79,NMO domain-containing protein,unreviewed,354,1215330,Trichophyton rubrum CBS 288.86,Trichophyton rubrum CBS 288.86
150,150,A0A022VWE0,NMO domain-containing protein,unreviewed,349,1215330,Trichophyton rubrum CBS 288.86,Trichophyton rubrum CBS 288.86
151,151,A0A022VYY6,NMO domain-containing protein,unreviewed,356,1215330,Trichophyton rubrum CBS 288.86,Trichophyton rubrum CBS 288.86
152,152,A0A022W2D4,NMO domain-containing protein,unreviewed,257,1215330,Trichophyton rubrum CBS 288.86,Trichophyton rubrum CBS 288.86
153,153,A0A022W300,NMO domain-containing protein,unreviewed,269,1215330,Trichophyton rubrum CBS 288.86,Trichophyton rubrum CBS 288.86
154,154,A0A022XLP9,NMO domain-containing protein,unreviewed,354,1215331,Trichophyton soudanense CBS 452.61,Trichophyton soudanense CBS 452.61
155,155,A0A022XMI5,NMO domain-containing protein,unreviewed,349,1215331,Trichophyton soudanense CBS 452.61,Trichophyton soudanense CBS 452.61
156,156,A0A022XQI0,NMO domain-containing protein,unreviewed,356,1215331,Trichophyton soudanense CBS 452.61,Trichophyton soudanense CBS 452.61
157,157,A0A022XSH6,NMO domain-containing protein,unreviewed,269,1215331,Trichophyton soudanense CBS 452.61,Trichophyton soudanense CBS 452.61
158,158,A0A022XTT2,NMO domain-containing protein,unreviewed,257,1215331,Trichophyton soudanense CBS 452.61,Trichophyton soudanense CBS 452.61
159,159,A0A023BNP8,NMO domain-containing protein,unreviewed,314,1317122,Aquimarina atlantica,Aquimarina atlantica
160,160,A0A023CKC1,2-nitropropane dioxygenase,unreviewed,317,1295642,Parageobacillus genomosp. 1,Parageobacillus genomosp. 1
161,161,A0A023CPW2,NMO domain-containing protein,unreviewed,364,1295642,Parageobacillus genomosp. 1,Parageobacillus genomosp. 1
162,162,A0A023CR52,NMO domain-containing protein,unreviewed,319,1295642,Parageobacillus genomosp. 1,Parageobacillus genomosp. 1
163,163,A0A023D1D0,2-nitropropane dioxygenase,unreviewed,313,1231351,Acidomonas methanolica NBRC 104435,Acidomonas methanolica NBRC 104435
164,164,A0A023D8D9,Enoyl-(Acyl carrier protein) reductase/2-nitropropane dioxygenase,unreviewed,357,1231351,Acidomonas methanolica NBRC 104435,Acidomonas methanolica NBRC 104435
165,165,A0A023DCC2,NMO domain-containing protein,unreviewed,319,1220594,Parageobacillus caldoxylosilyticus NBRC 107762,Parageobacillus caldoxylosilyticus NBRC 107762
166,166,A0A023DG25,NMO domain-containing protein,unreviewed,348,1220594,Parageobacillus caldoxylosilyticus NBRC 107762,Parageobacillus caldoxylosilyticus NBRC 107762
167,167,A0A023DG65,NMO domain-containing protein,unreviewed,72,1220594,Parageobacillus caldoxylosilyticus NBRC 107762,Parageobacillus caldoxylosilyticus NBRC 107762
168,168,A0A023DGW2,Enoyl-[acyl-carrier-protein] reductase,unreviewed,317,1220594,Parageobacillus caldoxylosilyticus NBRC 107762,Parageobacillus caldoxylosilyticus NBRC 107762
169,169,A0A023DXL9,NMO domain-containing protein,unreviewed,362,1427503,Holospora elegans E1,Holospora elegans E1
170,170,A0A023E0P2,NMO domain-containing protein,unreviewed,470,1427503,Holospora elegans E1,Holospora elegans E1
171,171,A0A023NNC9,NMO domain-containing protein,unreviewed,355,1379159,Dyella jiangningensis,Dyella jiangningensis
172,172,A0A023P4L9,NMO domain-containing protein,unreviewed,362,1330043,Bacillus bombysepticus str. Wang,Bacillus bombysepticus str. Wang
173,173,A0A023RR39,NMO domain-containing protein,unreviewed,348,1208104,Aeromonas media WS,Aeromonas media WS
174,174,A0A023WMQ0,NMO domain-containing protein,unreviewed,347,316,Pseudomonas stutzeri,Pseudomonas stutzeri
175,175,A0A023X0Z9,NMO domain-containing protein,unreviewed,329,42256,Rubrobacter radiotolerans,Rubrobacter radiotolerans
176,176,A0A023XC09,Uncharacterized protein,unreviewed,325,476282,Bradyrhizobium japonicum SEMIA 5079,Bradyrhizobium japonicum SEMIA 5079
177,177,A0A023XCC1,NMO domain-containing protein,unreviewed,358,476282,Bradyrhizobium japonicum SEMIA 5079,Bradyrhizobium japonicum SEMIA 5079
178,178,A0A023XHC3,NMO domain-containing protein,unreviewed,359,476282,Bradyrhizobium japonicum SEMIA 5079,Bradyrhizobium japonicum SEMIA 5079
179,179,A0A023XIM3,NMO domain-containing protein,unreviewed,377,476282,Bradyrhizobium japonicum SEMIA 5079,Bradyrhizobium japonicum SEMIA 5079
180,180,A0A023XIM7,NMO domain-containing protein,unreviewed,331,476282,Bradyrhizobium japonicum SEMIA 5079,Bradyrhizobium japonicum SEMIA 5079
181,181,A0A023XK42,NMO domain-containing protein,unreviewed,333,476282,Bradyrhizobium japonicum SEMIA 5079,Bradyrhizobium japonicum SEMIA 5079
182,182,A0A023XR63,NMO domain-containing protein,unreviewed,371,476282,Bradyrhizobium japonicum SEMIA 5079,Bradyrhizobium japonicum SEMIA 5079
183,183,A0A023XRJ7,NMO domain-containing protein,unreviewed,320,476282,Bradyrhizobium japonicum SEMIA 5079,Bradyrhizobium japonicum SEMIA 5079
184,184,A0A023XSA8,NMO domain-containing protein,unreviewed,321,476282,Bradyrhizobium japonicum SEMIA 5079,Bradyrhizobium japonicum SEMIA 5079
185,185,A0A023Y600,NMO domain-containing protein,unreviewed,358,216778,Stenotrophomonas rhizophila,Stenotrophomonas rhizophila
186,186,A0A024BVM8,NMO domain-containing protein,unreviewed,363,102611,Helicobacter pylori J166,Helicobacter pylori J166
187,187,A0A024C7M4,NMO domain-containing protein,unreviewed,363,210,Helicobacter pylori,Helicobacter pylori
188,188,A0A024E3A8,NMO domain-containing protein,unreviewed,354,1147786,Pseudomonas mandelii JR-1,Pseudomonas mandelii JR-1
189,189,A0A024EEZ7,NMO domain-containing protein,unreviewed,322,1147786,Pseudomonas mandelii JR-1,Pseudomonas mandelii JR-1
190,190,A0A024FD74,NMO domain-containing protein,unreviewed,313,754409,Winogradskyella sp. PG-2,Winogradskyella sp. PG-2
191,191,A0A024FLL8,NMO domain-containing protein,unreviewed,315,754409,Winogradskyella sp. PG-2,Winogradskyella sp. PG-2
192,192,A0A024H720,NMO domain-containing protein,unreviewed,356,861266,Pseudarthrobacter siccitolerans,Pseudarthrobacter siccitolerans
193,193,A0A024HH36,NMO domain-containing protein,unreviewed,348,1301098,Pseudomonas knackmussii (strain DSM 6978 / LMG 23759 / B13),Pseudomonas knackmussii (strain DSM 6978 / LMG 23759 / B13)
194,194,A0A024HM63,NMO domain-containing protein,unreviewed,370,1301098,Pseudomonas knackmussii (strain DSM 6978 / LMG 23759 / B13),Pseudomonas knackmussii (strain DSM 6978 / LMG 23759 / B13)
195,195,A0A024HMN4,NMO domain-containing protein,unreviewed,322,1301098,Pseudomonas knackmussii (strain DSM 6978 / LMG 23759 / B13),Pseudomonas knackmussii (strain DSM 6978 / LMG 23759 / B13)
196,196,A0A024HMN8,NMO domain-containing protein,unreviewed,462,1301098,Pseudomonas knackmussii (strain DSM 6978 / LMG 23759 / B13),Pseudomonas knackmussii (strain DSM 6978 / LMG 23759 / B13)
197,197,A0A024IQF0,NMO domain-containing protein,unreviewed,320,358,Rhizobium radiobacter,Rhizobium radiobacter (Agrobacterium tumefaciens)
198,198,A0A024JPS8,NMO domain-containing protein,unreviewed,367,47839,Mycobacterium triplex,Mycobacterium triplex
199,199,A0A024JUV6,NMO domain-containing protein,unreviewed,340,47839,Mycobacterium triplex,Mycobacterium triplex
200,200,A0A024JVU8,NMO domain-containing protein,unreviewed,342,47839,Mycobacterium triplex,Mycobacterium triplex
