,key,accession,entry_protein_locations_fragments_start,entry_protein_locations_fragments_end,entry_protein_locations_fragments_dc-status,entry_protein_locations_model,entry_protein_locations_score,protein_length,source_database,entry_type,entry_integrated
23,23,PF03060,3,308,CONTINUOUS,PF03060,5.1e-57,323,pfam,domain,ipr004136
24,24,PF03060,6,342,CONTINUOUS,PF03060,1.3e-74,346,pfam,domain,ipr004136
25,25,PF03060,5,342,CONTINUOUS,PF03060,1.3e-67,348,pfam,domain,ipr004136
26,26,PF03060,3,310,CONTINUOUS,PF03060,2.5e-62,323,pfam,domain,ipr004136
27,27,PF03060,3,310,CONTINUOUS,PF03060,6.2e-63,323,pfam,domain,ipr004136
28,28,PF03060,5,342,CONTINUOUS,PF03060,1.9e-68,348,pfam,domain,ipr004136
29,29,PF03060,14,304,CONTINUOUS,PF03060,3.5e-26,329,pfam,domain,ipr004136
30,30,PF03060,9,283,CONTINUOUS,PF03060,1e-55,373,pfam,domain,ipr004136
31,31,PF03060,6,309,CONTINUOUS,PF03060,7.1e-54,330,pfam,domain,ipr004136
32,32,PF03060,8,344,CONTINUOUS,PF03060,1.9e-74,354,pfam,domain,ipr004136
33,33,PF03060,15,347,CONTINUOUS,PF03060,5.7e-31,363,pfam,domain,ipr004136
34,34,PF03060,88,302,CONTINUOUS,PF03060,5.1e-26,322,pfam,domain,ipr004136
35,35,PF03060,7,83,CONTINUOUS,PF03060,1.5e-11,374,pfam,domain,ipr004136
36,36,PF03060,3,310,CONTINUOUS,PF03060,2.6e-62,323,pfam,domain,ipr004136
37,37,PF03060,5,342,CONTINUOUS,PF03060,8.7e-68,348,pfam,domain,ipr004136
38,38,PF03060,13,363,CONTINUOUS,PF03060,1.3e-53,373,pfam,domain,ipr004136
39,39,PF03060,5,301,CONTINUOUS,PF03060,9.5e-80,315,pfam,domain,ipr004136
40,40,PF03060,8,342,CONTINUOUS,PF03060,2.6e-94,374,pfam,domain,ipr004136
41,41,PF03060,7,310,CONTINUOUS,PF03060,3e-52,331,pfam,domain,ipr004136
42,42,PF03060,7,72,CONTINUOUS,PF03060,8.4e-17,307,pfam,domain,ipr004136
43,43,PF03060,3,310,CONTINUOUS,PF03060,4.1e-63,323,pfam,domain,ipr004136
44,44,PF03060,5,342,CONTINUOUS,PF03060,8.7e-68,348,pfam,domain,ipr004136
45,45,PF03060,3,332,CONTINUOUS,PF03060,7.9e-80,348,pfam,domain,ipr004136
46,46,PF03060,3,333,CONTINUOUS,PF03060,2e-67,349,pfam,domain,ipr004136
47,47,PF03060,7,316,CONTINUOUS,PF03060,6.2e-37,341,pfam,domain,ipr004136
48,48,PF03060,18,307,CONTINUOUS,PF03060,5.4e-25,414,pfam,domain,ipr004136
49,49,PF03060,18,307,CONTINUOUS,PF03060,4e-25,415,pfam,domain,ipr004136
50,50,PF03060,18,307,CONTINUOUS,PF03060,3.3e-25,414,pfam,domain,ipr004136
51,51,PF03060,3,79,CONTINUOUS,PF03060,9.5e-23,321,pfam,domain,ipr004136
52,52,PF03060,82,307,CONTINUOUS,PF03060,1.8e-18,322,pfam,domain,ipr004136
53,53,PF03060,14,151,CONTINUOUS,PF03060,2.1e-15,224,pfam,domain,ipr004136
54,54,PF03060,6,303,CONTINUOUS,PF03060,1.5e-71,312,pfam,domain,ipr004136
55,55,PF03060,3,310,CONTINUOUS,PF03060,1.6e-63,323,pfam,domain,ipr004136
56,56,PF03060,5,342,CONTINUOUS,PF03060,1.3e-66,348,pfam,domain,ipr004136
57,57,PF03060,3,310,CONTINUOUS,PF03060,9.8e-63,323,pfam,domain,ipr004136
58,58,PF03060,5,342,CONTINUOUS,PF03060,2e-67,348,pfam,domain,ipr004136
59,59,PF03060,3,310,CONTINUOUS,PF03060,8.1e-63,323,pfam,domain,ipr004136
60,60,PF03060,5,342,CONTINUOUS,PF03060,1e-66,348,pfam,domain,ipr004136
61,61,PF03060,16,445,CONTINUOUS,PF03060,3.8e-13,467,pfam,domain,ipr004136
62,62,PF03060,89,240,CONTINUOUS,PF03060,7.4e-16,302,pfam,domain,ipr004136
63,63,PF03060,83,297,CONTINUOUS,PF03060,5.4e-17,310,pfam,domain,ipr004136
64,64,PF03060,89,326,CONTINUOUS,PF03060,6.7e-35,337,pfam,domain,ipr004136
65,65,PF03060,5,310,CONTINUOUS,PF03060,3e-58,331,pfam,domain,ipr004136
66,66,PF03060,5,342,CONTINUOUS,PF03060,1.1e-68,348,pfam,domain,ipr004136
67,67,PF03060,3,310,CONTINUOUS,PF03060,6.2e-63,323,pfam,domain,ipr004136
68,68,PF03060,3,310,CONTINUOUS,PF03060,6.2e-63,323,pfam,domain,ipr004136
69,69,PF03060,5,342,CONTINUOUS,PF03060,1.1e-68,348,pfam,domain,ipr004136
70,70,PF03060,3,310,CONTINUOUS,PF03060,6.2e-63,323,pfam,domain,ipr004136
71,71,PF03060,3,310,CONTINUOUS,PF03060,6.2e-63,323,pfam,domain,ipr004136
72,72,PF03060,5,342,CONTINUOUS,PF03060,1.1e-68,348,pfam,domain,ipr004136
73,73,PF03060,5,342,CONTINUOUS,PF03060,1.1e-68,348,pfam,domain,ipr004136
74,74,PF03060,3,310,CONTINUOUS,PF03060,6.2e-63,323,pfam,domain,ipr004136
75,75,PF03060,3,310,CONTINUOUS,PF03060,6.2e-63,323,pfam,domain,ipr004136
76,76,PF03060,5,342,CONTINUOUS,PF03060,1.1e-68,348,pfam,domain,ipr004136
77,77,PF03060,5,342,CONTINUOUS,PF03060,1.1e-68,348,pfam,domain,ipr004136
78,78,PF03060,5,342,CONTINUOUS,PF03060,1.1e-68,348,pfam,domain,ipr004136
79,79,PF03060,3,310,CONTINUOUS,PF03060,6.2e-63,323,pfam,domain,ipr004136
80,80,PF03060,3,310,CONTINUOUS,PF03060,6.2e-63,323,pfam,domain,ipr004136
81,81,PF03060,5,342,CONTINUOUS,PF03060,1.1e-68,348,pfam,domain,ipr004136
82,82,PF03060,3,336,CONTINUOUS,PF03060,1e-90,352,pfam,domain,ipr004136
83,83,PF03060,3,343,CONTINUOUS,PF03060,5e-105,363,pfam,domain,ipr004136
84,84,PF03060,14,350,CONTINUOUS,PF03060,2.7e-47,367,pfam,domain,ipr004136
85,85,PF03060,300,571,CONTINUOUS,PF03060,4.9e-09,2380,pfam,domain,ipr004136
86,86,PF03060,66,302,CONTINUOUS,PF03060,1.9e-18,320,pfam,domain,ipr004136
87,87,PF03060,9,333,CONTINUOUS,PF03060,2.5e-48,351,pfam,domain,ipr004136
88,88,PF03060,5,73,CONTINUOUS,PF03060,1.1e-09,320,pfam,domain,ipr004136
89,89,PF03060,10,333,CONTINUOUS,PF03060,4.5e-54,351,pfam,domain,ipr004136
90,90,PF03060,9,280,CONTINUOUS,PF03060,1.5e-52,363,pfam,domain,ipr004136
91,91,PF03060,16,343,CONTINUOUS,PF03060,8.5e-38,369,pfam,domain,ipr004136
92,92,PF03060,4,300,CONTINUOUS,PF03060,4.9e-65,314,pfam,domain,ipr004136
93,93,PF03060,4,300,CONTINUOUS,PF03060,4.9e-65,314,pfam,domain,ipr004136
94,94,PF03060,4,300,CONTINUOUS,PF03060,4.9e-65,314,pfam,domain,ipr004136
95,95,PF03060,4,300,CONTINUOUS,PF03060,1.1e-64,314,pfam,domain,ipr004136
96,96,PF03060,4,300,CONTINUOUS,PF03060,2.3e-65,314,pfam,domain,ipr004136
97,97,PF03060,4,300,CONTINUOUS,PF03060,4.9e-65,314,pfam,domain,ipr004136
98,98,PF03060,4,300,CONTINUOUS,PF03060,2.3e-65,314,pfam,domain,ipr004136
99,99,PF03060,4,300,CONTINUOUS,PF03060,4.9e-65,314,pfam,domain,ipr004136
100,100,PF03060,4,300,CONTINUOUS,PF03060,4.6e-64,314,pfam,domain,ipr004136
101,101,PF03060,4,300,CONTINUOUS,PF03060,1.1e-64,314,pfam,domain,ipr004136
102,102,PF03060,10,339,CONTINUOUS,PF03060,3.7e-74,342,pfam,domain,ipr004136
103,103,PF03060,11,345,CONTINUOUS,PF03060,1.7e-65,368,pfam,domain,ipr004136
104,104,PF03060,81,241,CONTINUOUS,PF03060,2.3e-17,323,pfam,domain,ipr004136
105,105,PF03060,6,302,CONTINUOUS,PF03060,5.3e-68,315,pfam,domain,ipr004136
106,106,PF03060,3,305,CONTINUOUS,PF03060,5.3e-49,312,pfam,domain,ipr004136
107,107,PF03060,275,578,CONTINUOUS,PF03060,2.9e-34,602,pfam,domain,ipr004136
108,108,PF03060,69,277,CONTINUOUS,PF03060,2.1e-17,301,pfam,domain,ipr004136
109,109,PF03060,1,53,CONTINUOUS,PF03060,5.1e-09,320,pfam,domain,ipr004136
110,110,PF03060,4,300,CONTINUOUS,PF03060,2.3e-65,314,pfam,domain,ipr004136
111,111,PF03060,3,300,CONTINUOUS,PF03060,9e-76,310,pfam,domain,ipr004136
112,112,PF03060,5,309,CONTINUOUS,PF03060,3.9e-55,332,pfam,domain,ipr004136
113,113,PF03060,141,251,CONTINUOUS,PF03060,5.5e-23,361,pfam,domain,ipr004136
114,114,PF03060,36,270,CONTINUOUS,PF03060,6.8e-39,292,pfam,domain,ipr004136
115,115,PF03060,131,259,CONTINUOUS,PF03060,9.7e-26,349,pfam,domain,ipr004136
116,116,PF03060,9,339,CONTINUOUS,PF03060,1.1e-56,355,pfam,domain,ipr004136
117,117,PF03060,8,346,CONTINUOUS,PF03060,2.2e-76,377,pfam,domain,ipr004136
118,118,PF03060,259,354,CONTINUOUS,PF03060,6.8e-07,507,pfam,domain,ipr004136
119,119,PF03060,9,350,CONTINUOUS,PF03060,1.5e-80,358,pfam,domain,ipr004136
120,120,PF03060,86,306,CONTINUOUS,PF03060,3.8e-18,323,pfam,domain,ipr004136
121,121,PF03060,86,307,CONTINUOUS,PF03060,8.3e-27,322,pfam,domain,ipr004136
122,122,PF03060,8,340,CONTINUOUS,PF03060,4e-68,360,pfam,domain,ipr004136
123,123,PF03060,15,373,CONTINUOUS,PF03060,2.1e-32,389,pfam,domain,ipr004136
124,124,PF03060,81,306,CONTINUOUS,PF03060,1.4e-22,323,pfam,domain,ipr004136
125,125,PF03060,7,315,CONTINUOUS,PF03060,3e-41,339,pfam,domain,ipr004136
126,126,PF03060,13,310,CONTINUOUS,PF03060,5.2e-24,325,pfam,domain,ipr004136
127,127,PF03060,13,354,CONTINUOUS,PF03060,1.4e-74,374,pfam,domain,ipr004136
128,128,PF03060,26,350,CONTINUOUS,PF03060,3.5e-49,368,pfam,domain,ipr004136
129,129,PF03060,3,309,CONTINUOUS,PF03060,2.8e-65,323,pfam,domain,ipr004136
130,130,PF03060,86,304,CONTINUOUS,PF03060,7.9e-20,331,pfam,domain,ipr004136
131,131,PF03060,4,342,CONTINUOUS,PF03060,1.4e-71,347,pfam,domain,ipr004136
132,132,PF03060,12,311,CONTINUOUS,PF03060,2.9e-22,325,pfam,domain,ipr004136
133,133,PF03060,3,74,CONTINUOUS,PF03060,1.5e-20,110,pfam,domain,ipr004136
134,134,PF03060,4,203,CONTINUOUS,PF03060,2.8e-41,216,pfam,domain,ipr004136
135,135,PF03060,5,342,CONTINUOUS,PF03060,1.7e-67,348,pfam,domain,ipr004136
136,136,PF03060,5,54,CONTINUOUS,PF03060,4e-12,56,pfam,domain,ipr004136
137,137,PF03060,3,310,CONTINUOUS,PF03060,3.8e-63,323,pfam,domain,ipr004136
138,138,PF03060,5,342,CONTINUOUS,PF03060,8.7e-68,348,pfam,domain,ipr004136
139,139,PF03060,4,310,CONTINUOUS,PF03060,5.7e-53,331,pfam,domain,ipr004136
140,140,PF03060,29,366,CONTINUOUS,PF03060,2.5e-64,376,pfam,domain,ipr004136
141,141,PF03060,4,342,CONTINUOUS,PF03060,3.4e-76,348,pfam,domain,ipr004136
142,142,PF03060,13,308,CONTINUOUS,PF03060,4.6e-21,321,pfam,domain,ipr004136
143,143,PF03060,3,353,CONTINUOUS,PF03060,2.3e-42,368,pfam,domain,ipr004136
144,144,PF03060,9,346,CONTINUOUS,PF03060,8.1e-92,361,pfam,domain,ipr004136
145,145,PF03060,3,307,CONTINUOUS,PF03060,2e-56,328,pfam,domain,ipr004136
146,146,PF03060,2,295,CONTINUOUS,PF03060,8.7e-102,296,pfam,domain,ipr004136
147,147,PF03060,85,353,CONTINUOUS,PF03060,4.7e-09,541,pfam,domain,ipr004136
148,148,PF03060,6,73,CONTINUOUS,PF03060,1.9e-13,339,pfam,domain,ipr004136
149,149,PF03060,136,341,CONTINUOUS,PF03060,3.7e-27,354,pfam,domain,ipr004136
150,150,PF03060,7,329,CONTINUOUS,PF03060,2e-53,349,pfam,domain,ipr004136
151,151,PF03060,8,339,CONTINUOUS,PF03060,1.7e-56,356,pfam,domain,ipr004136
152,152,PF03060,26,191,CONTINUOUS,PF03060,2e-30,257,pfam,domain,ipr004136
153,153,PF03060,26,246,CONTINUOUS,PF03060,2e-36,269,pfam,domain,ipr004136
154,154,PF03060,136,341,CONTINUOUS,PF03060,3.7e-27,354,pfam,domain,ipr004136
155,155,PF03060,7,329,CONTINUOUS,PF03060,2e-53,349,pfam,domain,ipr004136
156,156,PF03060,8,339,CONTINUOUS,PF03060,1.7e-56,356,pfam,domain,ipr004136
157,157,PF03060,26,246,CONTINUOUS,PF03060,2e-36,269,pfam,domain,ipr004136
158,158,PF03060,26,191,CONTINUOUS,PF03060,2e-30,257,pfam,domain,ipr004136
159,159,PF03060,4,301,CONTINUOUS,PF03060,1.3e-59,314,pfam,domain,ipr004136
160,160,PF03060,6,71,CONTINUOUS,PF03060,1.6e-17,317,pfam,domain,ipr004136
161,161,PF03060,7,336,CONTINUOUS,PF03060,7.9e-104,364,pfam,domain,ipr004136
162,162,PF03060,5,307,CONTINUOUS,PF03060,7.6e-68,319,pfam,domain,ipr004136
163,163,PF03060,85,300,CONTINUOUS,PF03060,5.8e-22,313,pfam,domain,ipr004136
164,164,PF03060,31,340,CONTINUOUS,PF03060,1.4e-39,357,pfam,domain,ipr004136
165,165,PF03060,5,307,CONTINUOUS,PF03060,1.8e-67,319,pfam,domain,ipr004136
166,166,PF03060,7,337,CONTINUOUS,PF03060,1.1e-106,348,pfam,domain,ipr004136
167,167,PF03060,7,70,CONTINUOUS,PF03060,2.7e-16,72,pfam,domain,ipr004136
168,168,PF03060,6,71,CONTINUOUS,PF03060,3e-18,317,pfam,domain,ipr004136
169,169,PF03060,104,343,CONTINUOUS,PF03060,3.8e-31,362,pfam,domain,ipr004136
170,170,PF03060,149,358,CONTINUOUS,PF03060,1.4e-08,470,pfam,domain,ipr004136
171,171,PF03060,7,346,CONTINUOUS,PF03060,1.1e-65,355,pfam,domain,ipr004136
172,172,PF03060,4,345,CONTINUOUS,PF03060,2.2e-92,362,pfam,domain,ipr004136
173,173,PF03060,8,342,CONTINUOUS,PF03060,3.5e-79,348,pfam,domain,ipr004136
174,174,PF03060,3,342,CONTINUOUS,PF03060,4.8e-77,347,pfam,domain,ipr004136
175,175,PF03060,86,308,CONTINUOUS,PF03060,5.5e-35,329,pfam,domain,ipr004136
176,176,PF03060,5,69,CONTINUOUS,PF03060,3.5e-09,325,pfam,domain,ipr004136
177,177,PF03060,6,344,CONTINUOUS,PF03060,5.6e-81,358,pfam,domain,ipr004136
178,178,PF03060,6,351,CONTINUOUS,PF03060,2.6e-87,359,pfam,domain,ipr004136
179,179,PF03060,21,360,CONTINUOUS,PF03060,5.5e-47,377,pfam,domain,ipr004136
180,180,PF03060,4,308,CONTINUOUS,PF03060,2.1e-61,331,pfam,domain,ipr004136
181,181,PF03060,3,309,CONTINUOUS,PF03060,5.7e-61,333,pfam,domain,ipr004136
182,182,PF03060,134,353,CONTINUOUS,PF03060,9.3e-25,371,pfam,domain,ipr004136
183,183,PF03060,84,307,CONTINUOUS,PF03060,1.1e-17,320,pfam,domain,ipr004136
184,184,PF03060,87,252,CONTINUOUS,PF03060,1.9e-24,321,pfam,domain,ipr004136
185,185,PF03060,20,350,CONTINUOUS,PF03060,1e-57,358,pfam,domain,ipr004136
186,186,PF03060,7,362,CONTINUOUS,PF03060,6.7e-119,363,pfam,domain,ipr004136
187,187,PF03060,7,362,CONTINUOUS,PF03060,3.6e-119,363,pfam,domain,ipr004136
188,188,PF03060,8,345,CONTINUOUS,PF03060,1.7e-76,354,pfam,domain,ipr004136
189,189,PF03060,88,302,CONTINUOUS,PF03060,9.7e-26,322,pfam,domain,ipr004136
190,190,PF03060,4,300,CONTINUOUS,PF03060,5.3e-62,313,pfam,domain,ipr004136
191,191,PF03060,80,314,CONTINUOUS,PF03060,2e-34,315,pfam,domain,ipr004136
192,192,PF03060,12,353,CONTINUOUS,PF03060,5.4e-75,356,pfam,domain,ipr004136
193,193,PF03060,7,344,CONTINUOUS,PF03060,6.9e-87,348,pfam,domain,ipr004136
194,194,PF03060,7,338,CONTINUOUS,PF03060,1.6e-73,370,pfam,domain,ipr004136
195,195,PF03060,87,302,CONTINUOUS,PF03060,1.8e-26,322,pfam,domain,ipr004136
196,196,PF03060,8,321,CONTINUOUS,PF03060,3.7e-47,462,pfam,domain,ipr004136
197,197,PF03060,90,307,CONTINUOUS,PF03060,7.8e-22,320,pfam,domain,ipr004136
198,198,PF03060,22,322,CONTINUOUS,PF03060,6.1e-42,367,pfam,domain,ipr004136
199,199,PF03060,12,338,CONTINUOUS,PF03060,1.6e-75,340,pfam,domain,ipr004136
200,200,PF03060,8,339,CONTINUOUS,PF03060,1.1e-93,342,pfam,domain,ipr004136
201,201,PF03060,77,352,CONTINUOUS,PF03060,1.2e-10,530,pfam,domain,ipr004136
202,202,PF03060,11,60,CONTINUOUS,PF03060,5.5e-07,313,pfam,domain,ipr004136
203,203,PF03060,83,301,CONTINUOUS,PF03060,1e-26,312,pfam,domain,ipr004136
204,204,PF03060,21,310,CONTINUOUS,PF03060,2.7e-45,376,pfam,domain,ipr004136
205,205,PF03060,21,359,CONTINUOUS,PF03060,6.2e-56,374,pfam,domain,ipr004136
206,206,PF03060,10,332,CONTINUOUS,PF03060,1.4e-69,339,pfam,domain,ipr004136
207,207,PF03060,13,77,CONTINUOUS,PF03060,6.7e-14,316,pfam,domain,ipr004136
208,208,PF03060,18,334,CONTINUOUS,PF03060,1.4e-54,353,pfam,domain,ipr004136
209,209,PF03060,5,341,CONTINUOUS,PF03060,6.9e-106,356,pfam,domain,ipr004136
210,210,PF03060,8,316,CONTINUOUS,PF03060,8.5e-45,477,pfam,domain,ipr004136
211,211,PF03060,5,75,CONTINUOUS,PF03060,2.5e-14,318,pfam,domain,ipr004136
212,212,PF03060,6,346,CONTINUOUS,PF03060,7.2e-97,355,pfam,domain,ipr004136
213,213,PF03060,14,307,CONTINUOUS,PF03060,1.6e-26,330,pfam,domain,ipr004136
214,214,PF03060,5,343,CONTINUOUS,PF03060,2.2e-98,353,pfam,domain,ipr004136
215,215,PF03060,5,298,CONTINUOUS,PF03060,3.9e-40,376,pfam,domain,ipr004136
216,216,PF03060,17,337,CONTINUOUS,PF03060,4.1e-73,346,pfam,domain,ipr004136
217,217,PF03060,20,358,CONTINUOUS,PF03060,3.8e-52,373,pfam,domain,ipr004136
218,218,PF03060,81,240,CONTINUOUS,PF03060,4.5e-17,244,pfam,domain,ipr004136
219,219,PF03060,7,309,CONTINUOUS,PF03060,2.6e-51,329,pfam,domain,ipr004136
220,220,PF03060,85,222,CONTINUOUS,PF03060,1.4e-27,280,pfam,domain,ipr004136
221,221,PF03060,27,364,CONTINUOUS,PF03060,3.8e-43,379,pfam,domain,ipr004136
222,222,PF03060,6,343,CONTINUOUS,PF03060,8.1e-100,357,pfam,domain,ipr004136
223,223,PF03060,5,309,CONTINUOUS,PF03060,1e-52,330,pfam,domain,ipr004136
224,224,PF03060,151,349,CONTINUOUS,PF03060,1.3e-26,363,pfam,domain,ipr004136
225,225,PF03060,143,241,CONTINUOUS,PF03060,1.9e-25,356,pfam,domain,ipr004136
226,226,PF03060,3,307,CONTINUOUS,PF03060,6.6e-45,325,pfam,domain,ipr004136
227,227,PF03060,9,352,CONTINUOUS,PF03060,3.3e-53,375,pfam,domain,ipr004136
228,228,PF03060,4,351,CONTINUOUS,PF03060,7.2e-61,353,pfam,domain,ipr004136
229,229,PF03060,4,343,CONTINUOUS,PF03060,2.4e-57,348,pfam,domain,ipr004136
230,230,PF03060,81,338,CONTINUOUS,PF03060,3e-66,372,pfam,domain,ipr004136
231,231,PF03060,10,345,CONTINUOUS,PF03060,7.5e-106,363,pfam,domain,ipr004136
232,232,PF03060,15,351,CONTINUOUS,PF03060,5.8e-48,371,pfam,domain,ipr004136
233,233,PF03060,6,351,CONTINUOUS,PF03060,4.4e-81,361,pfam,domain,ipr004136
234,234,PF03060,5,341,CONTINUOUS,PF03060,1.8e-64,350,pfam,domain,ipr004136
235,235,PF03060,8,344,CONTINUOUS,PF03060,1.6e-78,354,pfam,domain,ipr004136
236,236,PF03060,88,302,CONTINUOUS,PF03060,4.9e-26,322,pfam,domain,ipr004136
237,237,PF03060,18,380,CONTINUOUS,PF03060,1.4e-54,383,pfam,domain,ipr004136
238,238,PF03060,18,307,CONTINUOUS,PF03060,9.8e-25,421,pfam,domain,ipr004136
239,239,PF03060,90,300,CONTINUOUS,PF03060,1.9e-22,323,pfam,domain,ipr004136
240,240,PF03060,9,305,CONTINUOUS,PF03060,1.2e-25,317,pfam,domain,ipr004136
241,241,PF03060,11,350,CONTINUOUS,PF03060,3.1e-75,353,pfam,domain,ipr004136
242,242,PF03060,19,381,CONTINUOUS,PF03060,3.5e-55,384,pfam,domain,ipr004136
243,243,PF03060,86,251,CONTINUOUS,PF03060,6.1e-14,318,pfam,domain,ipr004136
244,244,PF03060,20,329,CONTINUOUS,PF03060,2.2e-47,339,pfam,domain,ipr004136
245,245,PF03060,82,242,CONTINUOUS,PF03060,7.4e-20,319,pfam,domain,ipr004136
246,246,PF03060,11,347,CONTINUOUS,PF03060,2e-72,357,pfam,domain,ipr004136
247,247,PF03060,16,443,CONTINUOUS,PF03060,7.1e-12,467,pfam,domain,ipr004136
248,248,PF03060,19,382,CONTINUOUS,PF03060,2e-57,384,pfam,domain,ipr004136
249,249,PF03060,9,341,CONTINUOUS,PF03060,3.5e-70,355,pfam,domain,ipr004136
250,250,PF03060,3,308,CONTINUOUS,PF03060,6.2e-61,324,pfam,domain,ipr004136
251,251,PF03060,5,297,CONTINUOUS,PF03060,3e-60,312,pfam,domain,ipr004136
252,252,PF03060,8,344,CONTINUOUS,PF03060,3.2e-73,352,pfam,domain,ipr004136
253,253,PF03060,89,302,CONTINUOUS,PF03060,6.5e-25,320,pfam,domain,ipr004136
254,254,PF03060,16,444,CONTINUOUS,PF03060,1.4e-13,467,pfam,domain,ipr004136
255,255,PF03060,16,327,CONTINUOUS,PF03060,1.5e-48,338,pfam,domain,ipr004136
256,256,PF03060,8,343,CONTINUOUS,PF03060,9.1e-74,362,pfam,domain,ipr004136
257,257,PF03060,3,73,CONTINUOUS,PF03060,1.1e-18,325,pfam,domain,ipr004136
258,258,PF03060,5,310,CONTINUOUS,PF03060,1.9e-59,330,pfam,domain,ipr004136
259,259,PF03060,16,327,CONTINUOUS,PF03060,3.8e-46,341,pfam,domain,ipr004136
260,260,PF03060,70,221,CONTINUOUS,PF03060,7.9e-16,283,pfam,domain,ipr004136
261,261,PF03060,7,345,CONTINUOUS,PF03060,6.7e-69,354,pfam,domain,ipr004136
262,262,PF03060,87,300,CONTINUOUS,PF03060,5.4e-22,313,pfam,domain,ipr004136
263,263,PF03060,13,299,CONTINUOUS,PF03060,2.3e-17,316,pfam,domain,ipr004136
264,264,PF03060,5,310,CONTINUOUS,PF03060,3.5e-57,326,pfam,domain,ipr004136
265,265,PF03060,17,328,CONTINUOUS,PF03060,5.3e-11,468,pfam,domain,ipr004136
266,266,PF03060,4,342,CONTINUOUS,PF03060,8.1e-71,349,pfam,domain,ipr004136
267,267,PF03060,45,308,CONTINUOUS,PF03060,2.4e-21,321,pfam,domain,ipr004136
268,268,PF03060,5,78,CONTINUOUS,PF03060,2.1e-22,309,pfam,domain,ipr004136
269,269,PF03060,1,330,CONTINUOUS,PF03060,4.8e-47,332,pfam,domain,ipr004136
270,270,PF03060,12,338,CONTINUOUS,PF03060,1.2e-76,346,pfam,domain,ipr004136
271,271,PF03060,10,351,CONTINUOUS,PF03060,7.6e-60,357,pfam,domain,ipr004136
272,272,PF03060,5,298,CONTINUOUS,PF03060,1.1e-77,311,pfam,domain,ipr004136
273,273,PF03060,91,237,CONTINUOUS,PF03060,6.4e-08,2766,pfam,domain,ipr004136
274,274,PF03060,23,361,CONTINUOUS,PF03060,4e-56,375,pfam,domain,ipr004136
275,275,PF03060,6,56,CONTINUOUS,PF03060,2.2e-09,322,pfam,domain,ipr004136
276,276,PF03060,5,341,CONTINUOUS,PF03060,4.7e-113,355,pfam,domain,ipr004136
277,277,PF03060,8,340,CONTINUOUS,PF03060,1.1e-119,344,pfam,domain,ipr004136
278,278,PF03060,21,311,CONTINUOUS,PF03060,1.8e-43,376,pfam,domain,ipr004136
279,279,PF03060,21,308,CONTINUOUS,PF03060,8.9e-47,376,pfam,domain,ipr004136
280,280,PF03060,14,77,CONTINUOUS,PF03060,8.4e-12,320,pfam,domain,ipr004136
281,281,PF03060,9,65,CONTINUOUS,PF03060,2.3e-09,327,pfam,domain,ipr004136
